FID	IID	Trait	Pop	PGS
HG01879	HG01879	ieu-b-4813	AFR	192.724
HG01880	HG01880	ieu-b-4813	AFR	-692.643
HG01882	HG01882	ieu-b-4813	AFR	258.966
HG01883	HG01883	ieu-b-4813	AFR	-795.044
HG01885	HG01885	ieu-b-4813	AFR	197.033
HG01886	HG01886	ieu-b-4813	AFR	-1161.68
HG01889	HG01889	ieu-b-4813	AFR	169.841
HG01890	HG01890	ieu-b-4813	AFR	-1383.74
HG01894	HG01894	ieu-b-4813	AFR	650.263
HG01896	HG01896	ieu-b-4813	AFR	731.196
HG01912	HG01912	ieu-b-4813	AFR	385.438
HG01914	HG01914	ieu-b-4813	AFR	607.392
HG01915	HG01915	ieu-b-4813	AFR	-909.171
HG01956	HG01956	ieu-b-4813	AFR	126.429
HG01958	HG01958	ieu-b-4813	AFR	-388.14
HG01985	HG01985	ieu-b-4813	AFR	-224.178
HG01986	HG01986	ieu-b-4813	AFR	673.503
HG01988	HG01988	ieu-b-4813	AFR	119.638
HG01989	HG01989	ieu-b-4813	AFR	125.252
HG01990	HG01990	ieu-b-4813	AFR	-584.431
HG02009	HG02009	ieu-b-4813	AFR	-616.949
HG02010	HG02010	ieu-b-4813	AFR	-105.941
HG02012	HG02012	ieu-b-4813	AFR	409.304
HG02013	HG02013	ieu-b-4813	AFR	-25.4924
HG02014	HG02014	ieu-b-4813	AFR	-647.632
HG02051	HG02051	ieu-b-4813	AFR	820.65
HG02052	HG02052	ieu-b-4813	AFR	-733.301
HG02053	HG02053	ieu-b-4813	AFR	-29.2528
HG02054	HG02054	ieu-b-4813	AFR	217.7
HG02095	HG02095	ieu-b-4813	AFR	521.446
HG02107	HG02107	ieu-b-4813	AFR	-60.3016
HG02108	HG02108	ieu-b-4813	AFR	-475.502
HG02111	HG02111	ieu-b-4813	AFR	-300.739
HG02143	HG02143	ieu-b-4813	AFR	-19.2211
HG02144	HG02144	ieu-b-4813	AFR	155.545
HG02255	HG02255	ieu-b-4813	AFR	-919.168
HG02256	HG02256	ieu-b-4813	AFR	-372.116
HG02281	HG02281	ieu-b-4813	AFR	-267.605
HG02282	HG02282	ieu-b-4813	AFR	702.696
HG02283	HG02283	ieu-b-4813	AFR	-920.453
HG02284	HG02284	ieu-b-4813	AFR	-503.612
HG02307	HG02307	ieu-b-4813	AFR	893.794
HG02308	HG02308	ieu-b-4813	AFR	-551.536
HG02309	HG02309	ieu-b-4813	AFR	529.318
HG02314	HG02314	ieu-b-4813	AFR	-1102.11
HG02315	HG02315	ieu-b-4813	AFR	-464.948
HG02317	HG02317	ieu-b-4813	AFR	294.12
HG02318	HG02318	ieu-b-4813	AFR	-586.729
HG02322	HG02322	ieu-b-4813	AFR	-275.412
HG02323	HG02323	ieu-b-4813	AFR	-92.4971
HG02325	HG02325	ieu-b-4813	AFR	693.623
HG02330	HG02330	ieu-b-4813	AFR	-696.339
HG02332	HG02332	ieu-b-4813	AFR	97.6698
HG02334	HG02334	ieu-b-4813	AFR	-1345.9
HG02337	HG02337	ieu-b-4813	AFR	410.128
HG02339	HG02339	ieu-b-4813	AFR	-305.998
HG02343	HG02343	ieu-b-4813	AFR	96.8898
HG02419	HG02419	ieu-b-4813	AFR	70.1311
HG02420	HG02420	ieu-b-4813	AFR	-1507.69
HG02427	HG02427	ieu-b-4813	AFR	-93.277
HG02429	HG02429	ieu-b-4813	AFR	642.44
HG02433	HG02433	ieu-b-4813	AFR	895.684
HG02439	HG02439	ieu-b-4813	AFR	-32.9232
HG02442	HG02442	ieu-b-4813	AFR	-24.0801
HG02445	HG02445	ieu-b-4813	AFR	-309.813
HG02449	HG02449	ieu-b-4813	AFR	798.722
HG02450	HG02450	ieu-b-4813	AFR	-542.883
HG02455	HG02455	ieu-b-4813	AFR	662.967
HG02461	HG02461	ieu-b-4813	AFR	-1308.99
HG02462	HG02462	ieu-b-4813	AFR	-744.259
HG02464	HG02464	ieu-b-4813	AFR	-652.344
HG02465	HG02465	ieu-b-4813	AFR	-127.438
HG02470	HG02470	ieu-b-4813	AFR	338.009
HG02471	HG02471	ieu-b-4813	AFR	378.367
HG02476	HG02476	ieu-b-4813	AFR	-627.673
HG02477	HG02477	ieu-b-4813	AFR	-109.683
HG02479	HG02479	ieu-b-4813	AFR	160.626
HG02481	HG02481	ieu-b-4813	AFR	-655.456
HG02484	HG02484	ieu-b-4813	AFR	-585.165
HG02485	HG02485	ieu-b-4813	AFR	-376.027
HG02489	HG02489	ieu-b-4813	AFR	-678.533
HG02496	HG02496	ieu-b-4813	AFR	108.108
HG02497	HG02497	ieu-b-4813	AFR	-625.351
HG02501	HG02501	ieu-b-4813	AFR	96.1771
HG02502	HG02502	ieu-b-4813	AFR	-1103.16
HG02505	HG02505	ieu-b-4813	AFR	-149.799
HG02508	HG02508	ieu-b-4813	AFR	-1476.17
HG02511	HG02511	ieu-b-4813	AFR	275.014
HG02536	HG02536	ieu-b-4813	AFR	-1023.32
HG02537	HG02537	ieu-b-4813	AFR	797.272
HG02541	HG02541	ieu-b-4813	AFR	-583.547
HG02545	HG02545	ieu-b-4813	AFR	1329.86
HG02546	HG02546	ieu-b-4813	AFR	-1095.21
HG02549	HG02549	ieu-b-4813	AFR	-414.917
HG02554	HG02554	ieu-b-4813	AFR	-432.571
HG02555	HG02555	ieu-b-4813	AFR	-596.217
HG02557	HG02557	ieu-b-4813	AFR	-609.291
HG02558	HG02558	ieu-b-4813	AFR	-1206.64
HG02561	HG02561	ieu-b-4813	AFR	-214.113
HG02562	HG02562	ieu-b-4813	AFR	-539.672
HG02568	HG02568	ieu-b-4813	AFR	-1896.25
HG02570	HG02570	ieu-b-4813	AFR	-848.356
HG02571	HG02571	ieu-b-4813	AFR	-711.871
HG02573	HG02573	ieu-b-4813	AFR	-207.637
HG02574	HG02574	ieu-b-4813	AFR	-193.863
HG02577	HG02577	ieu-b-4813	AFR	-1331.23
HG02580	HG02580	ieu-b-4813	AFR	-499.85
HG02582	HG02582	ieu-b-4813	AFR	-478.171
HG02583	HG02583	ieu-b-4813	AFR	-672.486
HG02585	HG02585	ieu-b-4813	AFR	-9.73858
HG02586	HG02586	ieu-b-4813	AFR	-245.222
HG02588	HG02588	ieu-b-4813	AFR	263.125
HG02589	HG02589	ieu-b-4813	AFR	-319.653
HG02594	HG02594	ieu-b-4813	AFR	-697.057
HG02595	HG02595	ieu-b-4813	AFR	-485.314
HG02610	HG02610	ieu-b-4813	AFR	870.503
HG02611	HG02611	ieu-b-4813	AFR	-908.469
HG02613	HG02613	ieu-b-4813	AFR	213.854
HG02614	HG02614	ieu-b-4813	AFR	702.928
HG02620	HG02620	ieu-b-4813	AFR	-155.951
HG02621	HG02621	ieu-b-4813	AFR	175.775
HG02623	HG02623	ieu-b-4813	AFR	-40.9237
HG02624	HG02624	ieu-b-4813	AFR	-599.099
HG02628	HG02628	ieu-b-4813	AFR	-1770.14
HG02629	HG02629	ieu-b-4813	AFR	1006.35
HG02634	HG02634	ieu-b-4813	AFR	207.266
HG02635	HG02635	ieu-b-4813	AFR	-1086.41
HG02642	HG02642	ieu-b-4813	AFR	278.195
HG02643	HG02643	ieu-b-4813	AFR	78.3527
HG02645	HG02645	ieu-b-4813	AFR	-788.608
HG02646	HG02646	ieu-b-4813	AFR	-127.892
HG02666	HG02666	ieu-b-4813	AFR	-376.606
HG02667	HG02667	ieu-b-4813	AFR	-188.809
HG02675	HG02675	ieu-b-4813	AFR	-1749.86
HG02676	HG02676	ieu-b-4813	AFR	554.202
HG02678	HG02678	ieu-b-4813	AFR	-185.576
HG02679	HG02679	ieu-b-4813	AFR	-381.425
HG02702	HG02702	ieu-b-4813	AFR	-1013.18
HG02703	HG02703	ieu-b-4813	AFR	500.296
HG02715	HG02715	ieu-b-4813	AFR	-31.7974
HG02716	HG02716	ieu-b-4813	AFR	-598.548
HG02721	HG02721	ieu-b-4813	AFR	290.226
HG02722	HG02722	ieu-b-4813	AFR	21.6678
HG02756	HG02756	ieu-b-4813	AFR	-245.223
HG02757	HG02757	ieu-b-4813	AFR	-385.645
HG02759	HG02759	ieu-b-4813	AFR	393.1
HG02760	HG02760	ieu-b-4813	AFR	-649.745
HG02763	HG02763	ieu-b-4813	AFR	165.264
HG02768	HG02768	ieu-b-4813	AFR	277.767
HG02769	HG02769	ieu-b-4813	AFR	-463.671
HG02771	HG02771	ieu-b-4813	AFR	97.1648
HG02772	HG02772	ieu-b-4813	AFR	67.2873
HG02798	HG02798	ieu-b-4813	AFR	582.222
HG02799	HG02799	ieu-b-4813	AFR	103.26
HG02804	HG02804	ieu-b-4813	AFR	-739.529
HG02805	HG02805	ieu-b-4813	AFR	155.725
HG02807	HG02807	ieu-b-4813	AFR	-443.866
HG02808	HG02808	ieu-b-4813	AFR	-77.6446
HG02810	HG02810	ieu-b-4813	AFR	-39.0678
HG02811	HG02811	ieu-b-4813	AFR	-628.388
HG02813	HG02813	ieu-b-4813	AFR	-419.839
