FID	IID	Trait	Pop	PGS		
HG01879	HG01879	ieu-b-4813	AFR	192.724	ACB	AFR
HG01880	HG01880	ieu-b-4813	AFR	-692.643	ACB	AFR
HG01882	HG01882	ieu-b-4813	AFR	258.966	ACB	AFR
HG01883	HG01883	ieu-b-4813	AFR	-795.044	ACB	AFR
HG01885	HG01885	ieu-b-4813	AFR	197.033	ACB	AFR
HG01886	HG01886	ieu-b-4813	AFR	-1161.68	ACB	AFR
HG01889	HG01889	ieu-b-4813	AFR	169.841	ACB	AFR
HG01890	HG01890	ieu-b-4813	AFR	-1383.74	ACB	AFR
HG01894	HG01894	ieu-b-4813	AFR	650.263	ACB	AFR
HG01896	HG01896	ieu-b-4813	AFR	731.196	ACB	AFR
HG01912	HG01912	ieu-b-4813	AFR	385.438	ACB	AFR
HG01914	HG01914	ieu-b-4813	AFR	607.392	ACB	AFR
HG01915	HG01915	ieu-b-4813	AFR	-909.171	ACB	AFR
HG01956	HG01956	ieu-b-4813	AFR	126.429	ACB	AFR
HG01958	HG01958	ieu-b-4813	AFR	-388.14	ACB	AFR
HG01985	HG01985	ieu-b-4813	AFR	-224.178	ACB	AFR
HG01986	HG01986	ieu-b-4813	AFR	673.503	ACB	AFR
HG01988	HG01988	ieu-b-4813	AFR	119.638	ACB	AFR
HG01989	HG01989	ieu-b-4813	AFR	125.252	ACB	AFR
HG01990	HG01990	ieu-b-4813	AFR	-584.431	ACB	AFR
HG02009	HG02009	ieu-b-4813	AFR	-616.949	ACB	AFR
HG02010	HG02010	ieu-b-4813	AFR	-105.941	ACB	AFR
HG02012	HG02012	ieu-b-4813	AFR	409.304	ACB	AFR
HG02013	HG02013	ieu-b-4813	AFR	-25.4924	ACB	AFR
HG02014	HG02014	ieu-b-4813	AFR	-647.632	ACB	AFR
HG02051	HG02051	ieu-b-4813	AFR	820.65	ACB	AFR
HG02052	HG02052	ieu-b-4813	AFR	-733.301	ACB	AFR
HG02053	HG02053	ieu-b-4813	AFR	-29.2528	ACB	AFR
HG02054	HG02054	ieu-b-4813	AFR	217.7	ACB	AFR
HG02095	HG02095	ieu-b-4813	AFR	521.446	ACB	AFR
HG02107	HG02107	ieu-b-4813	AFR	-60.3016	ACB	AFR
HG02108	HG02108	ieu-b-4813	AFR	-475.502	ACB	AFR
HG02111	HG02111	ieu-b-4813	AFR	-300.739	ACB	AFR
HG02143	HG02143	ieu-b-4813	AFR	-19.2211	ACB	AFR
HG02144	HG02144	ieu-b-4813	AFR	155.545	ACB	AFR
HG02255	HG02255	ieu-b-4813	AFR	-919.168	ACB	AFR
HG02256	HG02256	ieu-b-4813	AFR	-372.116	ACB	AFR
HG02281	HG02281	ieu-b-4813	AFR	-267.605	ACB	AFR
HG02282	HG02282	ieu-b-4813	AFR	702.696	ACB	AFR
