Level,Sex,SuperPop,n,beta1,se,r,p
Global,Boys,All,26,-0.039335080182297685,0.028070690845977114,-0.2750074451844274,0.17392775486564774
Global,Girls,All,26,-0.06385187696686204,0.041218059331524975,-0.3014990420932648,0.1344390769108626
Within-superpop,Boys,AFR,7,-0.05706911542321247,0.035345377386139104,-0.5854131780085562,0.16731521980807665
Within-superpop,Boys,AMR,4,1.655063391058791e-4,0.0727182059281039,0.001609370056073898,0.9983906299439259
Within-superpop,Boys,EAS,5,0.008707162670966856,0.08595609260372468,0.058384544934449605,0.9257047432704483
Within-superpop,Boys,EUR,5,-8.811903089488768e-4,0.02716635725902582,-0.018724125078474995,0.976161096622405
Within-superpop,Boys,SAS,5,-0.017634264861427554,0.028152769248387128,-0.34008382785917,0.5754897058062589
Within-superpop,Girls,AFR,7,-0.09460425992480334,0.05501253967328176,-0.6096290397760001,0.14612129744717642
Within-superpop,Girls,AMR,4,-0.0223977135147289,0.07536957155183081,-0.2056411580011035,0.794358841998895
Within-superpop,Girls,EAS,5,-0.022435729308042086,0.12448755101321653,-0.10349401332954566,0.8684629453976691
Within-superpop,Girls,EUR,5,-0.008819961190866202,0.022757189547921594,-0.21836265195347493,0.7241976147641402
Within-superpop,Girls,SAS,5,-0.01033086589889439,0.027611901159613254,-0.2111429778715419,0.7331754953755979
