Level,Sex,SuperPop,n,beta1,se,r,p
Global,Boys,All,26,-0.34794444959778825,0.04105701494537861,-0.8657541410466189,1.1208690843661988e-8
Global,Girls,All,26,-0.2305614536683725,0.027576345213451498,-0.8627971604410491,1.4327698467013262e-8
Within-superpop,Boys,AFR,7,-0.3372302664581569,0.08552775033641237,-0.8698576024863744,0.010927738285541274
Within-superpop,Boys,AMR,4,0.006217728290473354,0.1181731026360693,0.03717900290480562,0.9628209970951959
Within-superpop,Boys,EAS,5,-0.06838660837221607,0.05167488082123224,-0.6071292927872571,0.2775195608252913
Within-superpop,Boys,EUR,5,-0.070862104283518,0.05674261215695958,-0.584846634497416,0.3003002817433523
Within-superpop,Boys,SAS,5,0.04473966026006235,0.06211621322925053,0.38396552097603015,0.5234132085619942
Within-superpop,Girls,AFR,7,-0.22163434896281584,0.061694513922916736,-0.8489753053824977,0.01566752982412933
Within-superpop,Girls,AMR,4,-0.01610643479996708,0.11766374559513695,-0.09634225690022817,0.9036577430997715
Within-superpop,Girls,EAS,5,-0.014029449426938711,0.00831606772866929,-0.6977352936005349,0.19018283881856496
Within-superpop,Girls,EUR,5,-0.05960168612031551,0.050655793886688824,-0.5619203620107552,0.3242146314643375
Within-superpop,Girls,SAS,5,0.030465645050560448,0.026556426953017333,0.5521996377684224,0.3344931440444185
