Level,Sex,SuperPop,n,beta1,se,r,p
Global,Boys,All,26,0.7146192948812096,0.4977397302098358,0.28123815981561007,0.16398590371176913
Global,Girls,All,26,2.3741448865218673,0.6692288270515987,0.5865148277569812,0.0016375201833914402
Within-superpop,Boys,AFR,7,-0.5774070298133278,1.4056736852600868,-0.18067812849227652,0.6982531870558819
Within-superpop,Boys,AMR,4,0.004603070732587455,0.9671966782981529,0.00336523498470565,0.9966347650152969
Within-superpop,Boys,EAS,5,-0.356910593291897,0.19201956891294297,-0.7315958254574882,0.16003307093329872
Within-superpop,Boys,EUR,5,-1.391154197089293,0.7012144882030271,-0.7533063666039612,0.1415170120486027
Within-superpop,Boys,SAS,5,2.8261268655861804,1.0157036887699984,0.8489526380157862,0.06885105241149034
Within-superpop,Girls,AFR,7,0.13104616753635762,2.1246767267070834,0.02757282790663327,0.9532087050604539
Within-superpop,Girls,AMR,4,0.766628823564381,1.8429227295009785,0.28219140227459055,0.7178085977254094
Within-superpop,Girls,EAS,5,0.9107337982429199,0.7570392538990258,0.5704621939332891,0.3152500540837152
Within-superpop,Girls,EUR,5,-0.4628864802306187,0.7244580475960692,-0.34609534182981866,0.568300205546589
Within-superpop,Girls,SAS,5,2.0726521537724474,0.7527899405776569,0.8464413598479739,0.0705472369723513
